stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back	transcribed	p_back	n1	n2	borrowing_language2	borrowing_period2	stem_log10_freq	international2	category_educated	borrowing_language	borrowing_period	borrowing_label	borrowing_category	first_mention	borrowing_original	international	note	category_educated_other
mutter	222	107	0.7298485474103733	329	TRUE	8.497094085788126	mutter	0.6747720364741642	47	40	German (n = 47)	19th c (n = 40)	-1.4370466114893505		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1840	NA	NA	NA	colloquial
mágnes	10	15983	-7.376695843374607	15993	TRUE	3.1612888612760757	mágneš	6.252735571812671e-4	15	6	Latin (n = 15)	16th c (n = 6)	0.2496874278053015		TRUE	Latin	16th c	Latin	French/Latin (educated)	1577	latin	FALSE	NA	educated
nonszensz	2	1980	-6.897704943128636	1982	TRUE	1.413499853742037	nonsens	0.00100908173562058	27	50	French (n = 27)	unknown (n = 50)	-0.6571388592900683		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
notesz	628	3797	-1.7994263937636037	4425	TRUE	23.213652713788587	notes	0.14192090395480225	33	40	English (n = 33)	19th c (n = 40)	-0.30832923440548066	international word	NA	English	19th c	English; 19th c	NA	1873	nemzetközi	TRUE	international word	other
okker	41	440	-2.373202660207999	481	TRUE	6.124148716776684	okker	0.08523908523908524	47	15	German (n = 47)	17th c (n = 15)	-1.272097433065493		FALSE	German	17th c	German; 17th c	German/Yiddish (colloquial)	1682	német	FALSE	NA	colloquial
omlett	9	3760	-6.0349496590477205	3769	TRUE	2.9964160072158346	omlett	0.00238790130007959	27	40	French (n = 27)	19th c (n = 40)	-0.3780163719897199		TRUE	French	19th c	French	French/Latin (educated)	1848	francia	FALSE	NA	educated
pajesz	271	14	2.963061491264442	285	TRUE	3.648599827571448	pajes	0.9508771929824562	11	40	Yiddish (n = 11)	19th c (n = 40)	-1.4993976494308145		FALSE	Yiddish	19th c	Yiddish	German/Yiddish (colloquial)	1875	jiddis	FALSE	NA	colloquial
pakett	61	889	-2.6792233713405933	950	TRUE	7.555339694198854	pakett	0.06421052631578947	27	50	French (n = 27)	unknown (n = 50)	-0.9765189041504772		TRUE	French	unknown	French	French/Latin (educated)	NA	NA	NA	NA	educated
pamflet	10	1647	-5.104125637183595	1657	TRUE	3.152721042183242	pamflet	0.0060350030175015	47	26	German (n = 47)	18th c (n = 26)	-0.7349200010199881	international word	FALSE	German	18th c	German; 18th c	German/Yiddish (colloquial)	1796	nemzetközi	TRUE	international word	colloquial
panel	13651	66278	-1.580045238067159	79929	TRUE	106.39341301518884	panel	0.1707890753043326	47	23	German (n = 47)	20th c (n = 23)	0.9484618700612836	international word	FALSE	German	20th c	German; 20th c	German/Yiddish (colloquial)	1953	nemzetközi	TRUE	international word	colloquial
parkett	355	9332	-3.269086843665905	9687	TRUE	18.492979648324823	parkett	0.03664705275110973	47	40	German (n = 47)	19th c (n = 40)	0.031946790297499215		FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1817	német	FALSE	NA	colloquial
parszek	9	177	-2.9789251552376097	186	TRUE	2.9265194564588595	parsek	0.04838709677419355	33	23	English (n = 33)	20th c (n = 23)	-1.6847295652214085		NA	English	20th c	English; 20th c	NA	1990	NA	NA	NA	other
partner	471	655199	-7.237836191251888	655670	TRUE	21.69473801503814	partner	7.183491695517563e-4	33	40	English (n = 33)	19th c (n = 40)	1.8624428036575429	international word	NA	English	19th c	English; 19th c	NA	1839	nemzetközi	TRUE	international word	other
pasztell	84	2083	-3.210747642417658	2167	TRUE	8.985760154603966	pastell	0.03876326718966313	29	26	other (n = 29)	18th c (n = 26)	-0.6183835981195069		NA	other	18th c		NA	1788	olasz (é	FALSE	NA	other
plakett	83	6871	-4.416224327234478	6954	TRUE	9.055901232806024	plakett	0.01193557664653436	27	40	French (n = 27)	19th c (n = 40)	-0.11200782309208528		TRUE	French	19th c	French	French/Latin (educated)	1897	francia	FALSE	NA	educated
pollen	7	10478	-7.311122950912852	10485	TRUE	2.6448679848206482	pollen	6.676204101096804e-4	15	26	Latin (n = 15)	18th c (n = 26)	0.0663259253620378		TRUE	Latin	18th c	Latin	French/Latin (educated)	1800	NA	NA	NA	educated
poszter	40	15402	-5.953373195985259	15442	TRUE	6.316358640738779	poster	0.0025903380391141	33	50	English (n = 33)	unknown (n = 50)	0.23446103867910376		NA	English	unknown		NA	NA	NA	NA	NA	other
prakker	32	40	-0.2231435513142097	72	TRUE	4.216370213557839	prakker	0.4444444444444444	29	50	other (n = 29)	unknown (n = 50)	-2.0969100130080562		NA	other	unknown		NA	NA	NA	NA	NA	other
projekt	193	704053	-8.201918727492497	704246	TRUE	13.890540233223266	projekt	2.7405196479639234e-4	33	50	English (n = 33)	unknown (n = 50)	1.8934818795051584		NA	English	unknown		NA	NA	NA	NA	NA	other
puffer	272	4314	-2.763818760653104	4586	TRUE	15.995856419413522	puffer	0.05931094635848234	33	50	English (n = 33)	unknown (n = 50)	-0.2928084590454048		NA	English	unknown		NA	NA	NA	NA	NA	other
pátens	2	616	-5.730099782973574	618	TRUE	1.4119233364778043	pátenš	0.00323624595469255	15	15	Latin (n = 15)	17th c (n = 15)	-1.1632540343505091		TRUE	Latin	17th c	Latin	French/Latin (educated)	1614	latin	FALSE	NA	educated
páter	32	923	-3.3618933317031257	955	TRUE	5.561272218755298	páter	0.03350785340314136	15	6	Latin (n = 15)	16th c (n = 6)	-0.9742391378555785		TRUE	Latin	16th c	Latin	French/Latin (educated)	1585	latin	FALSE	NA	educated
póker	78	4730	-4.104971654796387	4808	TRUE	8.7598292783036	póker	0.01622296173044925	47	40	German (n = 47)	19th c (n = 40)	-0.2722780504446417	international word	FALSE	German	19th c	German; 19th c	German/Yiddish (colloquial)	1873	nemzetközi	TRUE	international word	colloquial
